player_id,player_name,batting_hand,booling_skill,country,dob
1,Jorge Jones,Right-hand bat,Right-arm offbreak,Australia,25-01-1992
2,James Clark,Right-hand bat,None,South Africa,05-04-2006
3,Brittney Jones,Right-hand bat,None,Sri Lanka,18-06-1998
4,Melissa Owen,Right-hand bat,Right-arm fast,West Indies,06-04-2000
5,Heather Stewart,Right-hand bat,Right-arm medium,Sri Lanka,07-08-1993
6,Debra Holder,Left-hand bat,Left-arm fast,England,18-12-2005
7,Daniel Smith,Right-hand bat,Left-arm orthodox,Bangladesh,28-12-2006
8,Mary Hensley,Right-hand bat,Left-arm orthodox,England,07-04-1991
9,Amy Mathews,Right-hand bat,Left-arm medium,England,11-04-2000
10,Heather Hernandez,Left-hand bat,Right-arm offbreak,New Zealand,07-08-2003
11,Michele Reyes,Right-hand bat,Left-arm orthodox,Bangladesh,11-04-1988
12,Kyle Barrera,Left-hand bat,None,England,28-06-1999
13,Derek Allen,Left-hand bat,Legbreak,Sri Lanka,04-09-1998
14,Diane Smith,Left-hand bat,Right-arm medium,Bangladesh,05-02-2005
15,John Soto,Right-hand bat,Left-arm orthodox,Bangladesh,31-08-1999
16,Jennifer Roberts,Left-hand bat,Right-arm offbreak,Bangladesh,21-12-1988
17,Donna Green,Left-hand bat,Right-arm fast,New Zealand,21-09-2002
18,Samantha Murillo,Right-hand bat,Right-arm offbreak,New Zealand,15-07-2004
19,Michelle Hudson,Right-hand bat,Right-arm fast,India,26-01-1994
20,Joseph Patterson,Left-hand bat,Right-arm medium,Afghanistan,19-05-1986
21,Adam Estrada,Left-hand bat,Legbreak,South Africa,05-03-1992
22,Reginald Wilkins,Left-hand bat,Left-arm orthodox,West Indies,29-06-1986
23,Amanda Fitzpatrick,Left-hand bat,Left-arm orthodox,Bangladesh,11-01-2003
24,Kevin Higgins,Right-hand bat,Legbreak,South Africa,12-02-1994
25,John Nixon,Left-hand bat,Right-arm offbreak,Afghanistan,31-03-1989
26,Heidi Dunn,Right-hand bat,Left-arm orthodox,Pakistan,14-01-1988
27,Dwayne Harrison,Right-hand bat,Right-arm medium,Sri Lanka,07-08-1990
28,Amber Johnson,Left-hand bat,Legbreak,Sri Lanka,22-07-2005
29,Carla Williams,Right-hand bat,Legbreak,New Zealand,06-11-1986
30,Matthew Martin,Right-hand bat,Right-arm medium,New Zealand,08-02-2003
31,Dylan Porter,Right-hand bat,Right-arm offbreak,Bangladesh,20-09-2000
32,Christopher Parker MD,Left-hand bat,Legbreak,England,09-10-2001
33,Richard Page,Right-hand bat,Left-arm orthodox,South Africa,01-07-2003
34,Mary Thompson,Left-hand bat,Left-arm orthodox,Afghanistan,28-09-1991
35,Mikayla Larson,Left-hand bat,Left-arm medium,West Indies,19-12-1991
36,Deborah Fox,Left-hand bat,Left-arm orthodox,South Africa,20-06-1987
37,Rachel Madden,Right-hand bat,Right-arm fast,Sri Lanka,12-05-1992
38,Ivan Brown,Left-hand bat,Right-arm fast,England,03-01-2000
39,Suzanne Berger,Left-hand bat,None,Pakistan,14-06-2005
40,Amanda Harrison,Right-hand bat,Right-arm offbreak,Bangladesh,12-09-2006
41,Angela Williams,Left-hand bat,Right-arm offbreak,Afghanistan,09-08-2006
42,Alexander Castro,Right-hand bat,Left-arm fast,Sri Lanka,01-10-1988
43,Gerald Bass,Right-hand bat,None,Afghanistan,14-08-1998
44,Joe Douglas,Left-hand bat,Right-arm fast,Sri Lanka,19-10-2006
45,Kayla Martin,Right-hand bat,Right-arm medium,Australia,13-05-1998
46,Catherine Jordan,Left-hand bat,Right-arm fast,Afghanistan,25-08-2000
47,Richard Wilson,Right-hand bat,Left-arm orthodox,England,12-02-1994
48,Tyler Cummings,Left-hand bat,None,West Indies,26-11-2005
49,Larry Perkins,Left-hand bat,Right-arm medium,Pakistan,13-06-2006
50,Natalie Medina,Right-hand bat,Legbreak,Australia,29-12-2005
51,Holly Ware,Right-hand bat,Right-arm medium,South Africa,03-03-1994
52,Andrea Grant,Left-hand bat,Right-arm offbreak,India,04-09-1987
53,Cynthia Ferguson,Left-hand bat,Left-arm orthodox,Pakistan,13-11-1994
54,Theresa Cummings,Right-hand bat,Left-arm orthodox,Pakistan,27-07-2004
55,Olivia Lee,Right-hand bat,Right-arm fast,West Indies,31-12-2001
56,John Bishop,Right-hand bat,Right-arm offbreak,Pakistan,04-04-2007
57,Linda King,Left-hand bat,Right-arm offbreak,South Africa,05-04-1998
58,Edward Miller,Left-hand bat,Right-arm offbreak,Sri Lanka,03-05-1991
59,Bradley Rocha,Right-hand bat,Left-arm orthodox,New Zealand,16-09-1991
60,Sharon Harris,Left-hand bat,Legbreak,England,23-05-1998
61,Brittany Fitzgerald,Left-hand bat,Right-arm fast,New Zealand,28-02-1998
62,Jennifer Reyes MD,Right-hand bat,Left-arm medium,Australia,11-10-1986
63,Jennifer Frank,Right-hand bat,Left-arm medium,Pakistan,26-12-2000
64,Jose Boone,Right-hand bat,Left-arm fast,England,04-05-1988
65,Richard Jones,Left-hand bat,Right-arm offbreak,England,17-03-1990
66,Jessica Holder,Left-hand bat,None,Bangladesh,25-07-1985
67,Troy Hodges,Left-hand bat,Left-arm medium,West Indies,24-01-1987
68,Frank Morris,Right-hand bat,Right-arm medium,Sri Lanka,19-02-1985
69,Hector Ray,Right-hand bat,Right-arm offbreak,South Africa,30-05-1988
70,Lisa Smith,Left-hand bat,Legbreak,India,01-01-2002
71,Shaun King,Left-hand bat,None,England,23-05-2000
72,Hayden Hughes,Left-hand bat,Left-arm fast,England,02-07-1998
73,Renee Little,Right-hand bat,None,Bangladesh,16-12-1993
74,Charles Williams,Left-hand bat,Right-arm fast,Sri Lanka,15-01-1995
75,Elizabeth Strickland,Left-hand bat,Right-arm offbreak,England,16-10-1989
76,Michael Cruz,Right-hand bat,Left-arm medium,Bangladesh,03-11-1997
77,Margaret Perez,Left-hand bat,Left-arm orthodox,West Indies,13-08-2000
78,Amy French,Right-hand bat,Left-arm medium,Afghanistan,09-02-1991
79,Bianca Dorsey,Right-hand bat,Right-arm offbreak,England,28-05-2004
80,Micheal Dyer,Left-hand bat,Left-arm medium,England,02-02-1999
81,Amy Lee,Left-hand bat,Right-arm fast,New Zealand,13-07-1989
82,Melinda Donaldson,Left-hand bat,Right-arm medium,Afghanistan,08-07-1996
83,Jason Edwards,Right-hand bat,Right-arm medium,South Africa,22-06-1995
84,John Ward,Right-hand bat,Legbreak,Afghanistan,22-07-2004
85,Hannah Johnson,Left-hand bat,Right-arm medium,Pakistan,25-12-1990
86,Barbara Waters,Right-hand bat,Legbreak,New Zealand,27-02-1996
87,Eric Velazquez,Left-hand bat,None,Bangladesh,22-01-1989
88,Seth Little,Left-hand bat,Right-arm offbreak,New Zealand,12-03-2006
89,Jacob Silva,Right-hand bat,Left-arm orthodox,Pakistan,17-12-1993
90,Alexis Avila,Left-hand bat,Legbreak,England,27-04-1997
91,Christopher Thompson,Right-hand bat,Legbreak,Pakistan,07-11-1984
92,Matthew Morales,Left-hand bat,Left-arm medium,Bangladesh,25-11-1993
